,ID,Text,topic
0,ACCE001SRC001,"The incident took place around 11 pm when Jagdalpur-Bhubaneswar Express was going to Bhubaneswar. Bhubaneswar: 7 coaches of the train headed to Bhubaneswar derails Incident took place around 11 pm Reason behind the incident yet to be ascertained Twelve people were killed as seven coaches and the engine of the Jagdalpur-Bhubaneswar Express ran off the tracks near Kuneru station in Vizianagaram district of Andhra Pradesh tonight.The incident took place around 11 pm when the train was going to Bhubaneswar.""Seven coaches and the engine of the 18448 Jagdalpur-Bhubaneswar Express derailed near Kuneru station. Besides the engine, the luggage van, two general coaches, two sleeper coaches, one AC three tier coach and an AC two tier coach derailed,"" Chief PRO of East Cost Railway J P Mishra said.""According to doctors at the site, 12 people have died in the incident,"" he said.""Four accident relief vans have been sent to the accident site. The reason behind the incident is yet to be ascertained,"" the official said.Rayagada Sub-collector Muralidhar Swain claimed, ""Around 100 people are feared injured. The casualty may go up as many people are trapped.""""Total 4 accident relief vans rushed from different places. Priority is treatment, shifting of injured passengers to nearest hospital. @sureshpprabhu personally monitoring situation, directed senior officials to reach site immediately, ensure prompt rescue and relief ops,"" the railway ministry said in a series of tweets. 2/Helpline nos at Rayagada:BSNL LAND LINE NO.06856-223400, 06856-223500 BSNL MOBILES 09439741181, 09439741071, AIRTEL 07681878777 â Ministry of Railways (@RailMinIndia) January 21, 2017 3/Help line nos at Vizianagaram , RLY NO. 83331, 83332, 83333, 83334 BSNL LAND LINE: 08922-221202, 08922-221206 â Ministry of Railways (@RailMinIndia) January 21, 2017 4/MOBILE NOS. 08500358610, 08500358712 â Ministry of Railways (@RailMinIndia) January 21, 2017 5/Help line nos. at Visakhapatnam RLY NO. 83003, 83005, 83006, BSNL LAND LINE NO. 0891-2746344, 0891-2746330 â Ministry of Railways (@RailMinIndia) January 21, 2017 Trending",ACCIDENT
1,ACCE001SRC002,"At least 23 people were killed and several others injured nine coaches and the engine of the Jagdalpur-Bhubaneswar Hirakhand Express ran off the tracks near Kuneru station in Vizianagaram district of Andhra Pradesh late Saturday night.
Indian Railways spokesperson Anil Saxena confirmed this news to ANI.
The incident took place around 11 pm when the train was going to Bhubaneswar.
""This incident took place in Vijayanagaram district in Andhra Pradesh. 23 people are dead reportedly and 36 people are injured,"" he said.
Saxena further said that Railway Minister Suresh Prabhu is constantly monitoring the situation and is giving orders.
""Our officials have reached on the spot. As of now, our efforts are to run this operation as soon as possible so that injured people get benefit of it. We will investigate the reason for the train derailment,"" he added.
In the wake of the accident, seven express trains and few passenger trains have also been diverted.
The Ministry of Railways has also issued the following helpline numbers.
Helpline numbers at Rayagada: 06856-223400, 06856-223500 ,09439741181, 09439741071, 07681878777.
Helpline numbers at Vizianagaram: Railway numbers: 83331, 83332, 83333, 83334, 08922-221202, 08922-221206, 08500358610, 08500358712.
Helpline numbers at Visakhapatnam: Railway numbers: 83003, 83005, 83006, 0891-2746344, 0891-2746330.
 ",ACCIDENT
2,ACCE001SRC003,"27 killed in Andhra train derailment IANS (file Photo) 

At least 27 people were killed and over 50 others injured when   in Andhra Pradesh's Vizianagaram district, police said. 
The incident occurred on Saturday night at 11.30 p.m., near Kuneru station. The train was enroute to Odisha's capital city Bhubaneswar from Jagdalpur, Chhattisgarh. According to Chief Public Relations Officer of East Coast Railway J.P. Mishra, seven coaches -- luggage van,   coaches, one AC three tier coach, one AC two tier coach -- and the engine derailed.""Four accident relief vans have been sent to the accident site. The reason behind the incident is yet to be ascertained,"" Mishra said. Army personnel has also been deployed to carry out rescue operations. According to the Railways Ministry, 13 unaffected coaches left the accident site carrying passengers via Sambalpur and Angul. Bus services were also arranged for the passengers. Officials said 22 injured were shifted to Parvathipuram government hospital. Seven patients were referred to Kin George Hospital of Visakhapatnam while seven were discharged after first aid. A total of 32 injured were brought to Rayagada district hospital.   operations.""All   the ministry said. Railways Minister Suresh Prabhu was personally monitoring the situation. The train had departed from Jagdalpur at 3 p.m. on Saturday and was scheduled to reach Bhubaneswar at 8.25 a.m. on Sunday. It off the track minutes after it entered Andhra Pradesh from Odisha   Odisha.  -2490670.",ACCIDENT
3,ACCE002SRC001,"Ten of the 45 passengers who were killed when a private bus fell into a Himachal Pradesh river are yet to be identified even after 24 hours of the accident, an official said on Thursday.
Two people, including the conductor, managed to escape by jumping off the bus belonging to Uttarakhand as it skidded off the road and fell into the Tons river, a tributary of the Yamuna, more than 250 metres below the road.
The accident spot, 12 km from the Uttarakhand border, is near Gumma in Nerva tehsil, some 190 km from the state capital. It is one of the remotest places in the state.
Sub-divisional Magistrate Anil Chauhan said 10 bodies, which are in badly mutilated condition, are yet to be identified.
""All the bodies have been sent to the government hospital in Nerva,"" he told IANS.
Nerva is some 30 km from the accident spot.
Out of the 45 victims, 13 belonged to Himachal Pradesh, 18 from Uttarakhand and four from Uttar Pradesh.
The bus was on its way to Tuini from Vikasnagar town (both in Uttarakhand), via Himachal Pradesh. 
Rescue workers said the road where the accident occurred was badly damaged and there was no parapet to prevent the vehicle from rolling down.
Himachal Pradesh Transport Minister G.S. Bali has ordered a probe to ascertain the cause of the accident.
--IANS
vg/ksk/vm 
 ",ACCIDENT
4,ACCE002SRC002,"Himachal Pradesh: 44 killed in a bus accident in Shimla Himachal Pradesh: 44 killed in a bus accident in Shimla Chief Minister Virbhadra Singh who was in Delhi, directed for providing immediate treatment to the injured and relief to the next of the kins. By: Express News Service | Shimla | Updated: April 19, 2017 3:48 pm District Collector (Shimla), Rohan Chand Thakur, said that the conductor of the bus was found. He added that there were total 46 passengers in the bus put of which only two survived. 
A total of 44 persons including 10 women and girls, three children and 31 male died in a major road accident in Himachal Pradesh on Wednesday as a private bus from Uttarakhand bound to Tuni in remote area of Chopal (Shimla) skidded off the mountain and plunged into Tons river- the largest tributary of the Yamuna. Heavy casualty is reported after the bus fell straight into the river, nearly 250 meter down hill. The site is around 200 km from Shimla, the state capital. Bus no is UK 16 PA 0045 . 
40 bodies have been recovered by the rescue team from the site of the accident and there are reports of two more bodies floating in the river,â said Superintendent of Police (Shimla) D W Negi. District Collector (Shimla), Rohan Chand Thakur, said that the conductor of the bus was found. He added that there were total 46 passengers in the bus put of which only two survived. 
Additional Chief Secretary (Disaster management) Tarun Shridhar said that as per the report, the casualty is very high. Deputy Commissioner, Shimla, Rohan Chand Thakur immediately reached the spot after hearing about the accident.The rescue and relief operation was led by Sub-divisional Magistrate Chopal along with locals, police and government medical teams. The exact cause of the accident was not immediately known. 
This was the biggest and horrifying accident in the area. Shridhar said his counterpart from Uttarakhand government also spoke over phone and sought help in providing medical care to the survivors . 
Chief Minister Virbhadra Singh who was in Delhi, directed for providing immediate treatment to the injured and relief to the next of the kins who survived . 
âBus conductor is also among the survivors. Nearly 12 persons hailing from Himachal Pradesh were also identified,â said Negi. For all the latest India News , download Indian Express App now Â© IE Online Media Services Pvt Ltd Tags:",ACCIDENT
5,ACCE002SRC003,"Prime Minister Narendra Modi on Wednesday announced ex-gratia of Rs two lakh for the next of kin of each of those killed in a bus accident in Himachal Pradesh from the Prime Minister's National Relief Fund (PMNRF).
""The Prime Minister has announced an ex-gratia of Rs 2 lakh for the next of kin of those killed and Rs 50,000 for those seriously injured in the bus accident in Himachal Pradesh from PMNRF,"" a PMO release said.

Forty-four people were killed when a private bus fell into a river in Himachal Pradesh's Shimla district on Wednesday. Two people, including the conductor, managed to escape by jumping off the bus as it skidded off the road.
The bus, with at least 46 people on board, was on its way to Tuini from Vikasnagar town (both in Uttarakhand) via the state, when the bus skidded off the mountain road and fell into Tons river, a tributary of the Yamuna, more than 250 metres below the road.
The accident spot, 12 km from the Uttarakhand border, is near Gumma in Nerva tehsil, some 190 km from the state capital. 
--IANS 
ps/vgu/dg 
 ",ACCIDENT
6,ACCE003SRC001," At least 13 people, including 12 schoolchildren, were killed when the school bus they were travelling in was involved in a head-on collision with a truck in Aliganj area of Etah district in Uttar Pradesh this morning. District administration and police officials told NetIndian that at least 15 other children had suffered injuries and were admitted to nearby hospitals for treatment. Among those killed was the driver of the bus, they said, adding that the bus was ferrying about 50 children in all to their school when the mishap occurred around 8 am. ""Tragic road accident in Aliganj Etah. Over 15 school kids feared dead. Rescue of injured ongoing,"" Uttar Pradesh Director General of Police Javeed Ahmed said on micro-blogging site Twitter. The school had remained open today even though the Etah district administration had asked all schools to be closed for three days till January 20 because of the ongoing cold wave in the region, sources said. According to various accounts, the accident occurred at a time when visibility in the area was poor because of dense fog. Cranes were called in to lift the bus which had turned turtle because of the collision and gas cutters had to be used to cut through the mangled steel to extricate the victims from the heavily damaged vehicle.   and Prime Minister Narendra Modi condoled the loss of lives in the accident. ""Heartfelt condolences on loss of young lives in tragic bus accident in Etah; prayers for speedy recovery of the injured,"" Mr. Mukherjee said on Twitter. ""Anguished by the tragic accident in UPâs Etah district. I share the pain of the bereaved families & condole passing away of young children,"" Mr. Modi said. ""I pray that those injured in the accident in Etah recover at the earliest,"" he added.",ACCIDENT
7,ACCE003SRC002," Fifteen young children were killed and twenty five others seriously injured this morning when their school bus crashed into a truck in Uttar Pradesh's Etah. The truck was speeding when the school bus, with more than 60 students, collided with it.The children on the bus were junior school students between seven and ten years old.Prime Minister Narendra Modi expressed grief in tweets. ""Anguished by the tragic accident in UP's Etah district. I share the pain of the bereaved families & condole passing away of young children,"" tweeted the Prime Minister. Anguished by the tragic accident in UP's Etah district. I share the pain of the bereaved families & condole passing away of young children. - Narendra Modi (@narendramodi) January 19, 2017 - Narendra Modi (@narendramodi) January 19, 2017 The police have confirmed that all the children have been rescued from the bus, and the injured have been taken to the district hospital. 16 children, who have serious injuries, have been shifted to a specialised govt hospital in Aligarh.""Many children are seriously injured,"" said senior police officer Daljeet Chaudhary. He added: ""We will take action if anyone found at fault.""Police say that according to a government order, all schools are shut till Friday because of cold weather conditions. An investigation has been ordered into why the school was functioning despite the government order.Home Minister Rajnath Singh tweeted: ""My heart goes out to the families of those children who lost their lives in this tragedy. I pray for the speedy recovery of the injured."" Deeply saddening to learn of the loss of many precious lives in a road accident in Etah district of Uttar Pradesh, this morning. - Rajnath Singh (@rajnathsingh) January 19, 2017 My heart goes out to the families of those children who lost their lives in this tragedy. I pray for the speedy recovery of the injured. - Rajnath Singh (@rajnathsingh) January 19, 2017 Police have started an investigation, both into the accident as well as to find out why the school was functioning, despite it being a holiday.",ACCIDENT
8,ACCE003SRC003,"
At least 15 children died and 30 were injured when a school bus collided with a truck Thursday in northern India, authorities said. 
""Some children are in critical condition, so casualties could rise,"" said Parashuram Singh, the deputy superintendent of police in the state of Uttar Pradesh's Etah district. He told CNN, the school bus was carrying around 60 junior high school students. 
An initial investigation indicates the truck was speeding in dense fog, which likely caused the accident, the deputy said. 
Etah district administration had ordered all schools in the district to remain closed until January 20 due to cold weather, Satish Pal, Additional District Magistrate (ADM) of the district told CNN. He said his department was making inquiries as to why this particular school remained open. 
In a tweet, Prime Minister Narendra Modi said ""anguished by the tragic accident in UP's Etah district. I share the pain of the bereaved families & condole passing away of young children. I pray that those injured in the accident in Etah recover at the earliest."" Lax safety 
India has a history of deadly road accidents. In 2015, the total number of traffic accidents increased 2.5 percent to 501,423, from 489,400 in 2014, according to the country's transport and highways ministry. Traffic-related deaths increased 4.6 percent to 146,133 in 2015, from 139,671 in 2014. 
Around 83.6 percent of traffic-related deaths occurred in India's top thirteen states during 2015. The highest number of deaths had taken place in Uttar Pradesh, which reported 17,666 fatalities. 
India sees an average of 1,374 traffic accidents a day -- as well as 400 deaths every day -- on roads. 
This equates to almost one accident per minute and one death every four minutes on roads -- making it a bigger killer than HIV/AIDS and other diseases, according to the World Health Organization. 
In a pair of particularly deadly incidents only two days apart last year in India, at least 29 people were killed -- including 17 children -- when two buses plunged into water. 
During a 2013 road safety campaign, the ministry said many of these incidents were due to drunk driving, a scourge it said needed to eliminated by spreading awareness and stringent enforcement measures. It added that state governments have been requested to remove liquor shops from the side of highways. 
",ACCIDENT
9,ACCE004SRC001,"Authorities say at least one person is dead and five are injured after a small plane crashed into two homes and sparked a huge fire in Southern California.Riverside fire Capt. Tyler Reynolds says four people were aboard the plane and two victims were pulled from one of the houses that caught fire Monday. It wasn't immediately clear whether the dead person was from the house or the plane.Two witnesses told TV stations that a woman crawled from one of the houses with her clothes on fire, saying she had been flying the plane.The Cessna 310 crashed shortly after taking off from Riverside Municipal Airport headed for San Jose.
",ACCIDENT
